experiment_id,run_index,algorithm,eval_f1_reconstruction,eval_f2_security,eval_f3_robustness,eval_f4_complexity
IMG_0001,1,BEHHO-VC-Calibrated,0.460562698773739,0.0022127537501829,0.0581962264205254,0.2875816993464052
IMG_0001,1,BDA-EHHO-VC-Calibrated,0.4586080228223617,0.0019816749381968,0.0582422825413479,0.2235294117647059
IMG_0001,1,HHO-VC,0.4598069212175217,0.0021831506681904,0.0582365255262451,0.1294117647058823
IMG_0001,1,EHHO-VC,0.4602164143153051,0.0019777188556719,0.0582537965715535,0.1202614379084967
IMG_0001,1,MO-BDA-EHHO-VC,0.4760784386435197,0.0016142245963865,0.0580609365656094,0.1058823529411764
IMG_0001,2,HHO-VC,0.4611530806725322,0.0019876205860874,0.0584229088901986,0.550326797385621
IMG_0001,2,EHHO-VC,0.4615848398728455,0.002181372666707,0.058420750009535,0.54640522875817
IMG_0001,2,BDA-EHHO-VC-Calibrated,0.4609086276518285,0.0021591460395961,0.0583934041877967,0.4849673202614379
IMG_0001,2,BEHHO-VC-Calibrated,0.4610743704233986,0.0022626746851162,0.058435142547292,0.5241830065359476
IMG_0001,2,MO-BDA-EHHO-VC,0.4719124762587557,0.0021678569939126,0.0582329273918058,0.0666666666666666
IMG_0001,3,BDA-EHHO-VC-Calibrated,0.495109801380215,0.0025961387597239,0.0585639557602174,0.2366013071895425
IMG_0001,3,BEHHO-VC-Calibrated,0.4942051541863979,0.0025529877595716,0.0586409558372175,0.1830065359477124
IMG_0001,3,EHHO-VC,0.4930991638555587,0.0024304401240949,0.058623684791909,0.05359477124183
IMG_0001,3,HHO-VC,0.4930991638555587,0.0024304401240949,0.058623684791909,0.05359477124183
IMG_0001,3,MO-BDA-EHHO-VC,0.4580671851182474,0.0020445207295338,0.0583149648570209,0.1450980392156863
IMG_0001,4,BDA-EHHO-VC-Calibrated,0.4598175378306672,0.0034901448119659,0.0583603013509555,0.2967320261437908
IMG_0001,4,EHHO-VC,0.459738632858964,0.0032645495393008,0.0584337032935163,0.4339869281045752
IMG_0001,4,HHO-VC,0.4626182748809919,0.0034821186514157,0.0584603294883668,0.1098039215686274
IMG_0001,4,BEHHO-VC-Calibrated,0.4609927393357203,0.0031646969769155,0.0583588620971798,0.5516339869281045
IMG_0001,4,MO-BDA-EHHO-VC,0.4592121622940108,0.0031844308200361,0.0583768527693761,0.134640522875817
IMG_0001,5,HHO-VC,0.4586871309828332,0.0016095607703162,0.0582545161984414,0.3633986928104575
IMG_0001,5,BDA-EHHO-VC-Calibrated,0.4579878907014049,0.0015769411103919,0.0582394040337965,0.403921568627451
IMG_0001,5,EHHO-VC,0.4575955670545458,0.0015378200509123,0.0581962264205254,0.2444444444444444
IMG_0001,5,BEHHO-VC-Calibrated,0.4596555625175099,0.0017575474836039,0.0582530769446657,0.2928104575163399
IMG_0001,5,MO-BDA-EHHO-VC,0.4584494932520673,0.0013495247356963,0.0581415347770488,0.1294117647058823
IMG_0002,1,BEHHO-VC-Calibrated,0.5778110785244633,0.0023063223231584,0.0585301332964884,0.3137254901960784
IMG_0002,1,HHO-VC,0.5688810930139391,0.0024588739611632,0.0583207218721237,0.1777777777777777
IMG_0002,1,BDA-EHHO-VC-Calibrated,0.5794626645630753,0.0023587219705829,0.0584646472496939,0.2248366013071895
IMG_0002,1,EHHO-VC,0.5688810930139391,0.0024588739611632,0.0583207218721237,0.1777777777777777
IMG_0002,1,MO-BDA-EHHO-VC,0.5700325298992958,0.0016669374449897,0.0582041423162918,0.0588235294117647
IMG_0002,2,BDA-EHHO-VC-Calibrated,0.5926801532066222,0.0015898172594571,0.0582940956772732,0.049673202614379
IMG_0002,2,BEHHO-VC-Calibrated,0.5951876211346508,0.0017348033880654,0.0583847686651424,0.0183006535947712
IMG_0002,2,EHHO-VC,0.5936118668376211,0.0018393171993408,0.0583351144098807,0.0274509803921568
IMG_0002,2,HHO-VC,0.5936118668376211,0.0018393171993408,0.0583351144098807,0.0274509803921568
IMG_0002,2,MO-BDA-EHHO-VC,0.574276093461166,0.0010462738978356,0.0582314881380301,0.1516339869281045
IMG_0002,3,BEHHO-VC-Calibrated,0.5684182120672758,0.0023201190091931,0.058217815227161,0.4457516339869281
IMG_0002,3,BDA-EHHO-VC-Calibrated,0.5650204132873989,0.0025601269866781,0.0581775161214413,0.2771241830065359
IMG_0002,3,EHHO-VC,0.5896242110632693,0.0021918619704959,0.0583415910518714,0.0379084967320261
IMG_0002,3,HHO-VC,0.589895679723963,0.0024095050693154,0.0583739742618247,0.0313725490196078
IMG_0002,3,MO-BDA-EHHO-VC,0.565211766309978,0.0023935212835693,0.0581991049280768,0.1359477124183006
IMG_0002,4,BEHHO-VC-Calibrated,0.5670074809149285,0.002967343585464,0.0583991612028995,0.2287581699346405
IMG_0002,4,EHHO-VC,0.5672841562878105,0.00264108360923,0.0582840209008433,0.05359477124183
IMG_0002,4,HHO-VC,0.5664882997470392,0.0025152412012261,0.0583660583660583,0.0967320261437908
IMG_0002,4,BDA-EHHO-VC-Calibrated,0.56453138871921,0.0023906944889465,0.0584588902345911,0.2418300653594771
IMG_0002,4,MO-BDA-EHHO-VC,0.5680199112841482,0.0025350681894253,0.0581998245549647,0.0993464052287581
IMG_0002,5,HHO-VC,0.595675578961806,0.0023072646876559,0.0588151055440775,0.0169934640522875
IMG_0002,5,BDA-EHHO-VC-Calibrated,0.5793518843533395,0.0022961062946079,0.058986376743386,0.4013071895424836
IMG_0002,5,BEHHO-VC-Calibrated,0.595675578961806,0.0023072646876559,0.0588151055440775,0.0169934640522875
IMG_0002,5,EHHO-VC,0.595675578961806,0.0023072646876559,0.0588151055440775,0.0169934640522875
IMG_0002,5,MO-BDA-EHHO-VC,0.5747151589909408,0.0019278173212493,0.0587654512888157,0.05359477124183
IMG_0003,1,BDA-EHHO-VC-Calibrated,0.467209764181813,0.0023592003752662,0.0585452454611333,0.1019607843137254
IMG_0003,1,HHO-VC,0.4695453852090228,0.0023549371796414,0.0585042267285257,0.0705882352941176
IMG_0003,1,BEHHO-VC-Calibrated,0.4667818063047073,0.0023030457580024,0.0584811986681145,0.0915032679738562
IMG_0003,1,EHHO-VC,0.4753575406638391,0.002706275941804,0.0585625165064417,0.0797385620915032
IMG_0003,1,MO-BDA-EHHO-VC,0.4647324867182794,0.001876381092208,0.0584365818010677,0.192156862745098
IMG_0003,2,BEHHO-VC-Calibrated,0.4826646490154774,0.0019823121114666,0.0582386844069087,0.2156862745098039
