algorithm,runs,median_f1,median_f2,median_f3,median_f4
BDA-EHHO-VC-Calibrated,500,0.4407341117071738,0.00196688131786515,0.0582390442203526,0.3104575163398693
BEHHO-VC-Calibrated,500,0.4457959405760934,0.0019919993677651503,0.05823832459346475,0.24379084967320255
EHHO-VC,500,0.4457322952966972,0.00197505207675335,0.05823076851114225,0.2241830065359477
HHO-VC,500,0.445619009092152,0.0019865191911749,0.05823832459346475,0.24379084967320255
MO-BDA-EHHO-VC,500,0.42844113449940824,0.00161393365010215,0.0581368572022777,0.12352941176470586
