experiment_id,dataset,split,filename,channel,correlation_mode,share_aggregation,best_NX,best_objective
IMG_0169,BSDS500,test,183066.jpg,G,abs_cc,max,2,4.940779738160361
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,share1,178,5.060184124144815
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,share2,4,5.076900205908565
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,mean,175,5.069021631661632
IMG_0169,BSDS500,test,183066.jpg,B,signed_cc,max,4,5.076900205908565
IMG_0169,BSDS500,test,183066.jpg,B,abs_cc,share1,178,5.066792378654885
IMG_0169,BSDS500,test,183066.jpg,B,abs_cc,share2,4,5.076900205908565
IMG_0169,BSDS500,test,183066.jpg,B,abs_cc,mean,175,5.072276520272603
IMG_0169,BSDS500,test,183066.jpg,B,abs_cc,max,4,5.076900205908565
IMG_0173,BSDS500,test,188025.jpg,R,signed_cc,share1,40,5.23442103389682
IMG_0173,BSDS500,test,188025.jpg,R,signed_cc,share2,16,5.24040662081834
IMG_0173,BSDS500,test,188025.jpg,R,signed_cc,mean,16,5.238065545753153
IMG_0173,BSDS500,test,188025.jpg,R,signed_cc,max,16,5.24040662081834
IMG_0173,BSDS500,test,188025.jpg,R,abs_cc,share1,20,5.237532415355601
IMG_0173,BSDS500,test,188025.jpg,R,abs_cc,share2,16,5.241299911078571
IMG_0173,BSDS500,test,188025.jpg,R,abs_cc,mean,20,5.239759072197307
IMG_0173,BSDS500,test,188025.jpg,R,abs_cc,max,16,5.241299911078571
IMG_0173,BSDS500,test,188025.jpg,G,signed_cc,share1,98,4.975059141170836
IMG_0173,BSDS500,test,188025.jpg,G,signed_cc,share2,7,4.9880204680137155
IMG_0173,BSDS500,test,188025.jpg,G,signed_cc,mean,9,4.984738343127779
IMG_0173,BSDS500,test,188025.jpg,G,signed_cc,max,7,4.9880204680137155
IMG_0173,BSDS500,test,188025.jpg,G,abs_cc,share1,98,4.980860332920469
IMG_0173,BSDS500,test,188025.jpg,G,abs_cc,share2,3,4.988679226195738
IMG_0173,BSDS500,test,188025.jpg,G,abs_cc,mean,9,4.9864237638919215
IMG_0173,BSDS500,test,188025.jpg,G,abs_cc,max,4,4.988686782457081
