run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction,paired_rank
IMG_0005|r1|n30|b600|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,30,600,987927628,4.614739288874254,2,2,6,600,True,78.99982309999177,12,12,4.614739288874254,0.1211744642097808,0.0524410814000736,3,0,0,,1.0
IMG_0005|r1|n30|b600|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,30,600,987927628,4.615933469325737,2,2,136,600,True,84.3284197000321,20,20,4.615933469325737,0.7276851851851851,0.6888888888888888,7,0,0,,3.0
IMG_0005|r1|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,30,600,987927628,4.616075727035482,2,2,200,600,True,72.5966304000467,10,10,4.616075727035482,,,0,160,140,0.5333333333333333,4.0
IMG_0005|r2|n10|b300|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,10,300,529390759,4.61432554498359,68,145,134,300,True,35.18688039999688,15,15,4.61432554498359,,,0,0,0,,4.0
IMG_0005|r2|n10|b300|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,10,300,529390759,4.614191130452092,48,107,98,300,True,33.460393899993505,19,19,4.614191130452092,0.2916604401351182,0.2781400888204483,0,0,0,,3.0
IMG_0005|r2|n10|b300|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,10,300,529390759,4.6123117781630585,24,69,10,300,True,39.679836399969645,30,30,4.6123117781630585,0.7740555555555556,0.795,3,0,0,,1.0
IMG_0005|r2|n10|b300|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,10,300,529390759,4.61316312086736,78,191,10,300,True,25.55429549998371,15,15,4.61316312086736,,,0,92,58,0.6133333333333333,2.0
IMG_0005|r2|n10|b600|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,10,600,529390759,4.614470426952825,2,3,3,600,True,94.4033688000054,34,34,4.614470426952825,,,0,0,0,,3.5
IMG_0005|r2|n10|b600|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,10,600,529390759,4.614470426952825,2,3,3,600,True,97.14962420001392,40,40,4.614470426952825,0.1586576207382762,0.0067709258292891,14,0,0,,3.5
IMG_0005|r2|n10|b600|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,10,600,529390759,4.613295016137408,82,2,10,600,True,103.83340359997236,60,60,4.613295016137408,0.7303055555555555,0.81,22,0,0,,1.0
IMG_0005|r2|n10|b600|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,10,600,529390759,4.613342082191375,14,225,3,600,True,103.87886489997618,30,30,4.613342082191375,,,0,158,142,0.5266666666666666,2.0
