experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity,S1_current_mean,S2_abs_cc_only,S3_nmse_cc_hist,S4_worst_share,R1_clean_vs_noisy_mse_1pct,R2_clean_vs_noisy_mae_1pct,R3_secret_vs_noisy_mse_1pct,R4_abs_delta_secret_mse_1pct,R1_clean_vs_noisy_mse_5pct,R2_clean_vs_noisy_mae_5pct,R3_secret_vs_noisy_mse_5pct,R4_abs_delta_secret_mse_5pct,R1_clean_vs_noisy_mse_10pct,R2_clean_vs_noisy_mae_10pct,R3_secret_vs_noisy_mse_10pct,R4_abs_delta_secret_mse_10pct,R1_clean_vs_noisy_mse_mean,R2_clean_vs_noisy_mae_mean,R3_secret_vs_noisy_mse_mean,R4_abs_delta_secret_mse_mean
IMG_0005,1,IMG_0005_r1_archive.csv,0,000000000001000000000000,2,16,2,0.5325097814330209,0.3278386216354951,0.0,0.0261437908496732,0.3278173482028439,0.0017832826264964716,0.38062301771359786,0.3279018223804374,0.01966956172563649,0.01966956172563649,0.5248641859919334,0.007425084830252502,0.09469282366478629,0.09469282366478628,0.49691857640806103,0.035370694414124826,0.1802406288387597,0.1802406288387597,0.4646836434584497,0.06760562736373615,0.09820100474306082,0.09820100474306082,0.49548880195281475,0.03680046886937116
IMG_0005,1,IMG_0005_r1_archive.csv,1,000010010010000100010001,9,33,17,0.5079352174411946,0.3278656932793489,0.0,0.0771241830065359,0.3281056217338779,0.0023904942601856967,0.38075948833620954,0.32834115801569186,0.01966956172563649,0.01966956172563649,0.5015601275037078,0.0064464091951722735,0.09469282366478629,0.09469282366478628,0.4773174977635519,0.030689038935328112,0.1802406288387597,0.1802406288387597,0.44937018647374477,0.058636350225135254,0.09820100474306082,0.09820100474306082,0.47608260391366813,0.03192393278521188
IMG_0005,1,IMG_0005_r1_archive.csv,2,000000110001000100010000,3,17,16,0.5109955535416626,0.3275916531915527,0.0,0.0470588235294117,0.32801516036589173,0.0021693401480830828,0.38072431549624897,0.3282241906165346,0.01966956172563649,0.01966956172563649,0.5045280889103718,0.006662568179885366,0.09469282366478629,0.09469282366478628,0.47987303676768905,0.03131762032256809,0.1802406288387597,0.1802406288387597,0.4511179993265604,0.06007265776369676,0.09820100474306082,0.09820100474306082,0.4785063750015404,0.03268428208871674
IMG_0005,1,IMG_0005_r1_archive.csv,3,000000100001000100000001,2,17,2,0.5323204518319266,0.327849735746786,0.0,0.0274509803921568,0.32790530391750683,0.0019545080148526636,0.3806681670811717,0.3279708020716553,0.01966956172563649,0.01966956172563649,0.5246249058186235,0.00741209768147647,0.09469282366478629,0.09469282366478628,0.4966863401120534,0.03535066338804655,0.1802406288387597,0.1802406288387597,0.4644761792597815,0.06756082424031842,0.09820100474306082,0.09820100474306082,0.4952624750634862,0.036774528436613815
IMG_0005,1,IMG_0005_r1_archive.csv,4,000010110000100000001001,11,8,9,0.4982063783555661,0.3278694654603322,0.0,0.0366013071895424,0.3280314267658661,0.002083866837722156,0.38076195022381354,0.32826154047723405,0.01966956172563649,0.01966956172563649,0.4923602057144512,0.006040014726105965,0.09469282366478629,0.09469282366478628,0.4695914903673961,0.028808730073161096,0.1802406288387597,0.1802406288387597,0.4429584378959709,0.055441782544586274,0.09820100474306082,0.09820100474306082,0.4683033779926061,0.030096842447951116
IMG_0005,1,IMG_0005_r1_archive.csv,5,000010110001001101010000,11,19,80,0.5095153148981475,0.3278111897831364,0.0,0.1437908496732026,0.32856117193496376,0.003008765782392616,0.38106047065674364,0.3287189072330519,0.01966956172563649,0.01966956172563649,0.5031100175637683,0.0065202852448591475,0.09469282366478629,0.09469282366478628,0.4786335344836568,0.030996768324970624,0.1802406288387597,0.1802406288387597,0.4502837062437791,0.05934659656484835,0.09820100474306082,0.09820100474306082,0.4773424194304014,0.032287883378226044
IMG_0005,1,IMG_0005_r1_archive.csv,6,000010110000010111010110,11,5,214,0.5057170733868769,0.32778620591989,0.0,0.3006535947712418,0.32829275495521615,0.0025148469840092975,0.3809155333765918,0.3286647422735896,0.01966956172563649,0.01966956172563649,0.4993761360948676,0.006416574311021837,0.09469282366478629,0.09469282366478628,0.47553461791580126,0.03025809249008812,0.1802406288387597,0.1802406288387597,0.44766548350461083,0.05812722690127859,0.09820100474306082,0.09820100474306082,0.47419207917175993,0.03160063123412952
IMG_0005,2,IMG_0005_r2_archive.csv,0,000111000100001100000110,28,67,6,0.5171110190304102,0.3277235786606166,0.0,0.1320261437908496,0.3281078843212174,0.0023218376134695015,0.38077891508522804,0.32856457972811776,0.019641496277010295,0.019641496277010298,0.5107311456906688,0.006725582096665212,0.09537718883513276,0.09537718883513276,0.4849803134527558,0.032476414334578214,0.18026653540672233,0.18026653540672233,0.45540739888808746,0.0620493288992465,0.0984284068396218,0.0984284068396218,0.4837062860105041,0.033750441776829974
IMG_0005,2,IMG_0005_r2_archive.csv,1,000000000000011100000001,2,7,2,0.5294444164105366,0.3280216033908189,0.0,0.0143790849673202,0.32834476578941035,0.002510027202159964,0.3809687491562484,0.3283516235153013,0.019641496277010295,0.019641496277010298,0.5224430478918508,0.0072479634876557,0.09537718883513276,0.09537718883513276,0.4948375763061703,0.03485343507333616,0.18026653540672233,0.18026653540672233,0.4631343121675021,0.06655669921200436,0.0984284068396218,0.0984284068396218,0.49347164545517447,0.03621936592433207
IMG_0005,2,IMG_0005_r2_archive.csv,2,101010010000111000000110,169,14,6,0.5170956867445996,0.327614369320038,0.0,0.2470588235294117,0.3279225705330468,0.0017849338950411695,0.38072782722666454,0.3284818812389081,0.019641496277010295,0.019641496277010298,0.510742405734914,0.006768641183154697,0.09537718883513276,0.09537718883513276,0.48503129690121033,0.03247975001685837,0.18026653540672233,0.18026653540672233,0.45546540928144696,0.06204563763662176,0.0984284068396218,0.0984284068396218,0.48374637063919046,0.033764676278878275
IMG_0005,2,IMG_0005_r2_archive.csv,3,000010000010000010010000,8,32,144,0.5123913672519349,0.3277474936305419,0.0,0.2405228758169934,0.32817197273780807,0.002265620639387373,0.3808570577453393,0.3283569517967073,0.019641496277010295,0.019641496277010298,0.5064637751781086,0.006616554390056319,0.09537718883513276,0.09537718883513276,0.4814495868873948,0.03163074268077016,0.18026653540672233,0.18026653540672233,0.4528795104888412,0.06020081907932377,0.0984284068396218,0.0984284068396218,0.48026429085144823,0.032816038716716754
