algorithm,runs,mean_injections,pct_runs_with_injection,mean_diversity,mean_final_diversity,mean_bda_fraction,mean_ehho_fraction
BEHHO-VC-Calibrated,500,3.05,47.4,0.8280225370370371,0.8005122222222222,,
BDA-EHHO-VC-Calibrated,500,,,,,0.48954,0.51046
