algorithm,runs,mean_best_score,median_best_score,sd_best_score,mean_paired_rank,median_runtime_s,mean_runtime_s
BDA-EHHO-VC-Calibrated,24,5.056629457501134,5.0425077967224095,0.48131937869790564,2.3333333333333335,61.44532399997115,61.04066432916928
BEHHO-VC-Calibrated,24,5.0567023247430365,5.042981342213013,0.48131659234212193,2.5,58.30770954999025,56.28459513332685
HHO-VC,24,5.056818814540089,5.043970888140747,0.48141334281242265,2.5625,57.48292750000837,55.13369918332804
EHHO-VC,24,5.05683175454991,5.044018821503446,0.4813716992840054,2.6041666666666665,56.10830379996332,56.09338992082485
