algorithm_A,algorithm_B,median_difference_A_minus_B,bootstrap95_lo,bootstrap95_hi,wilcoxon_statistic,p_raw,rank_biserial_A_minus_B,wins_A,wins_B,ties,p_holm,significant_holm_0_05
HHO-VC,EHHO-VC,0.0,0.0,7.121383139185866e-06,1852.0,0.07676482311548985,0.2792982456140351,33,42,25,0.3838241155774492,False
HHO-VC,BEHHO-VC-Calibrated,-4.858701872834104e-06,-0.0001437378628431851,0.00011035806796400038,2509.0,0.960237077939282,-0.00515357658214801,50,48,2,1.0,False
HHO-VC,BDA-EHHO-VC-Calibrated,-2.621240118028112e-05,-0.0001629574977162207,8.894950419823193e-05,2454.0,0.8084684836054674,-0.027474747474747475,52,47,1,1.0,False
EHHO-VC,BEHHO-VC-Calibrated,-9.292295399543349e-05,-0.0001595796902336133,-1.3140635329200734e-05,1846.0,0.01983352994370612,-0.26860441146155434,62,36,2,0.11900117966223672,False
EHHO-VC,BDA-EHHO-VC-Calibrated,-4.6102976723361166e-05,-0.00018763693864887188,4.335789937481849e-05,2105.0,0.14919537101926694,-0.16727272727272727,55,44,1,0.5967814840770678,False
BEHHO-VC-Calibrated,BDA-EHHO-VC-Calibrated,5.5937626834978715e-05,-8.718659221962355e-05,0.00018088001770966144,2359.0,0.5693265501096281,0.06505050505050505,45,54,1,1.0,False
