algorithm,population_size,evaluation_budget,runs,mean_injections,pct_runs_with_injection,mean_diversity,mean_final_diversity,mean_bda_fraction,mean_bda_proposals,mean_ehho_proposals,mean_ehho_fraction
BEHHO-VC-Calibrated,10,300,72,5.611111111111111,72.22222222222221,0.7840100308641975,0.7631712962962962,,,,
BEHHO-VC-Calibrated,10,600,72,14.041666666666666,90.27777777777779,0.7706847993827161,0.773449074074074,,,,
BEHHO-VC-Calibrated,20,300,72,1.7777777777777777,40.27777777777778,0.8303595679012346,0.80671875,,,,
BEHHO-VC-Calibrated,20,600,72,4.388888888888889,59.72222222222222,0.8189301697530864,0.8012268518518518,,,,
BEHHO-VC-Calibrated,30,300,72,1.0972222222222223,34.72222222222222,0.8489524176954732,0.8228832304526749,,,,
BEHHO-VC-Calibrated,30,600,72,2.625,48.61111111111111,0.8350896347736625,0.8004475308641976,,,,
BDA-EHHO-VC-Calibrated,10,300,72,,,,,0.5009259259259259,75.13888888888889,74.86111111111111,0.4990740740740741
BDA-EHHO-VC-Calibrated,10,600,72,,,,,0.5026388888888889,150.79166666666666,149.20833333333334,0.49736111111111114
BDA-EHHO-VC-Calibrated,20,300,72,,,,,0.5013888888888889,70.19444444444444,69.80555555555556,0.4986111111111111
BDA-EHHO-VC-Calibrated,20,600,72,,,,,0.495787037037037,148.73611111111111,151.26388888888889,0.504212962962963
BDA-EHHO-VC-Calibrated,30,300,72,,,,,0.48444444444444446,72.66666666666667,77.33333333333333,0.5155555555555555
BDA-EHHO-VC-Calibrated,30,600,72,,,,,0.49,147.0,153.0,0.51
