objective_candidate,global_min,global_max,global_span,global_std,normalized_iqr,pct_archives_nonconstant,median_within_archive_span,median_within_archive_cv,family,discrimination_score
R4_abs_delta_secret_mse_mean,0.0068384845002034,0.04444926453356,0.0376107800333566,0.00760033347917051,0.3072773958533982,100.0,0.0065938988423869995,0.0797047969155468,robustness,1.0
R3_secret_vs_noisy_mse_mean,0.2901513357997744,0.5755648685567084,0.285413532756934,0.05762850747430034,0.3020022659771846,100.0,0.027030290746618363,0.015468624203142763,robustness,0.8273431210157138
R1_clean_vs_noisy_mse_mean,0.0977382846541725,0.0985910425162761,0.0008527578621035925,0.00021360311248844288,0.3029535864978896,0.0,0.0,1.4098290378478092e-16,robustness,0.2500000000000007
R2_clean_vs_noisy_mae_mean,0.0977382846541725,0.0985910425162761,0.0008527578621035925,0.00021360311248844288,0.3029535864978896,0.0,0.0,1.4098290378478092e-16,robustness,0.2500000000000007
S2_abs_cc_only,0.0003510049358072,0.0045565334117425,0.0042055284759353,0.000728371533698291,0.2086211450638618,100.0,0.00106482856159275,0.12315852181976383,security,0.9586211450638618
S4_worst_share,0.3031501977992399,0.3712852812988949,0.06813508349965497,0.014364466926213165,0.301029625777735,100.0,0.0007529021390243196,0.0005285131440383962,security,0.752642565720192
S1_current_mean,0.30299980664309,0.3708616558268434,0.06786184918375338,0.014382567188978786,0.30664558341328846,100.0,0.0005568047437892465,0.0003743032845030195,security,0.7518715164225152
S3_nmse_cc_hist,0.330346083421797,0.3810934348613796,0.05074735143958259,0.011763018753272838,0.33190776554623813,100.0,0.0002896871646090038,0.00019746344292346168,security,0.7509873172146173
