experiment_id,run_index,algorithm,set_size,hypervolume,igd,epsilon_additive,mean_nn_distance,reference_front_size
IMG_0001,1,HHO-VC,1,0.15925032478278442,0.6125928164469974,0.7566073980681762,0.0,53
IMG_0001,1,EHHO-VC,1,0.2519868923385833,0.5386304949265353,0.6395759717313334,0.0,53
IMG_0001,1,BEHHO-VC-Calibrated,1,0.1187747817361429,0.5894420442822065,0.7922466825987627,0.0,53
IMG_0001,1,BDA-EHHO-VC-Calibrated,1,0.22635463791433014,0.4864511127413515,0.611307420494635,0.0,53
IMG_0001,1,MO-BDA-EHHO-VC,50,0.8895094145496049,0.006338234839146145,0.06768558951965073,0.15602809412242347,53
IMG_0001,2,HHO-VC,1,0.15879099280220524,0.6761827943514781,0.8169291338582677,0.0,50
IMG_0001,2,EHHO-VC,1,0.14245617518645978,0.647432541697204,0.8110236220472441,0.0,50
IMG_0001,2,BEHHO-VC-Calibrated,1,0.14296112082791754,0.6210718377951236,0.7775590551181101,0.0,50
IMG_0001,2,BDA-EHHO-VC-Calibrated,1,0.2140516523459553,0.5881182406310494,0.7185039370078741,0.0,50
IMG_0001,2,MO-BDA-EHHO-VC,49,1.0230606309802004,0.0012443388128251308,0.01874214885305782,0.12049225134423337,50
IMG_0001,3,HHO-VC,1,0.010193335384549375,1.2095526501975684,0.9629057187015467,0.0,43
IMG_0001,3,EHHO-VC,1,0.010193335384549375,1.2095526501975684,0.9629057187015467,0.0,43
IMG_0001,3,BEHHO-VC-Calibrated,1,0.003284638864227249,1.2401162208241805,1.0,0.0,43
IMG_0001,3,BDA-EHHO-VC-Calibrated,1,0.005290983000608453,1.1764164801737411,1.0,0.0,43
IMG_0001,3,MO-BDA-EHHO-VC,43,0.9990052613579314,0.0,0.0,0.13800214839233804,43
IMG_0001,4,HHO-VC,1,0.2727893914186699,0.46927555162958146,0.6195652173911895,0.0,62
IMG_0001,4,EHHO-VC,1,0.14513041112858105,0.6039878252847237,0.779951100244499,0.0,62
IMG_0001,4,BEHHO-VC-Calibrated,1,0.06143134706745848,0.7877716595191916,1.0,0.0,62
IMG_0001,4,BDA-EHHO-VC-Calibrated,1,0.2516038434241424,0.44317520209447747,0.5232273838630807,0.0,62
IMG_0001,4,MO-BDA-EHHO-VC,61,0.9280929107432941,0.0024943456571191697,0.04156479217603909,0.12130694856318625,62
IMG_0001,5,HHO-VC,1,0.05845279447074798,0.6393957245459277,0.8973509933774834,0.0,43
IMG_0001,5,EHHO-VC,1,0.2213981304330995,0.47963617546269244,0.6217598752963531,0.0,43
IMG_0001,5,BEHHO-VC-Calibrated,1,0.0519121607775444,0.6506559757261494,0.9167867724824307,0.0,43
IMG_0001,5,BDA-EHHO-VC-Calibrated,1,0.03423246576968007,0.6916684194913632,1.0,0.0,43
IMG_0001,5,MO-BDA-EHHO-VC,43,1.015638419829636,0.0,0.0,0.17319618015802704,43
IMG_0002,1,HHO-VC,1,0.04439893469402697,0.7717768921474861,0.9686192900835721,0.0,17
IMG_0002,1,EHHO-VC,1,0.04439893469402697,0.7717768921474861,0.9686192900835721,0.0,17
IMG_0002,1,BEHHO-VC-Calibrated,1,0.0030732071947603586,1.0143920024927902,1.0,0.0,17
IMG_0002,1,BDA-EHHO-VC-Calibrated,1,0.017897358120135456,0.8582114358181155,0.8461231707164814,0.0,17
IMG_0002,1,MO-BDA-EHHO-VC,17,1.044230454353522,0.0,0.0,0.34237049058231167,17
IMG_0002,2,HHO-VC,1,0.028947684313052495,0.8718169308292999,1.0,0.0,34
IMG_0002,2,EHHO-VC,1,0.028947684313052495,0.8718169308292999,1.0,0.0,34
IMG_0002,2,BEHHO-VC-Calibrated,1,0.04128843612621881,0.8538515754166772,0.905815397883776,0.0,34
IMG_0002,2,BDA-EHHO-VC-Calibrated,1,0.11061946077712859,0.7934220290247161,0.7751583998401254,0.0,34
IMG_0002,2,MO-BDA-EHHO-VC,31,1.0430784198560266,0.05127658740935518,0.038888888888888806,0.17585281971208128,34
IMG_0002,3,HHO-VC,1,0.12403842904571115,0.6958573011002449,0.7343532684283332,0.0,27
IMG_0002,3,EHHO-VC,1,0.18661630620422265,0.7347984440001147,0.6717663421418267,0.0,27
IMG_0002,3,BEHHO-VC-Calibrated,1,0.09373141781910356,0.8059654261757323,0.9295774647887324,0.0,27
IMG_0002,3,BDA-EHHO-VC-Calibrated,1,0.25819187429798024,0.5849271695152178,0.5661971830985916,0.0,27
IMG_0002,3,MO-BDA-EHHO-VC,24,0.8064647297557298,0.04515219792044884,0.10355455658400645,0.19551279749269504,27
IMG_0002,4,HHO-VC,1,0.37969550957284093,0.5240572347292032,0.5807860262009092,0.0,40
IMG_0002,4,EHHO-VC,1,0.4849190779804744,0.5464654707509325,0.5116116537465266,0.0,40
IMG_0002,4,BEHHO-VC-Calibrated,1,0.10080599647325256,0.7121719179504848,0.8193829251082246,0.0,40
IMG_0002,4,BDA-EHHO-VC-Calibrated,1,0.17248994651237118,0.638870488676295,0.8624454148472345,0.0,40
IMG_0002,4,MO-BDA-EHHO-VC,40,1.0889783095985857,0.005892668884515999,0.03349282296650722,0.1610949139750974,40
IMG_0002,5,HHO-VC,1,0.1469627335500045,0.7929873012741521,0.6514718837473333,0.0,48
IMG_0002,5,EHHO-VC,1,0.1469627335500045,0.7929873012741521,0.6514718837473333,0.0,48
IMG_0002,5,BEHHO-VC-Calibrated,1,0.1469627335500045,0.7929873012741521,0.6514718837473333,0.0,48
IMG_0002,5,BDA-EHHO-VC-Calibrated,1,0.03543351079321155,0.7315939422345532,0.948412698412508,0.0,48
IMG_0002,5,MO-BDA-EHHO-VC,45,1.0660811194582587,0.01922509958799351,0.0015847860538827745,0.1395684243251808,48
IMG_0003,1,HHO-VC,1,0.22769555392242347,0.6026706319974018,0.642440708071829,0.0,47
IMG_0003,1,EHHO-VC,1,0.04770349207410892,0.7954047964787794,0.9498705154127041,0.0,47
IMG_0003,1,BEHHO-VC-Calibrated,1,0.28290560398243525,0.5656508757583993,0.5970344748998149,0.0,47
IMG_0003,1,BDA-EHHO-VC-Calibrated,1,0.1930131929381184,0.6184030550943476,0.6461711060544525,0.0,47
IMG_0003,1,MO-BDA-EHHO-VC,45,0.9430862307554979,0.00560319667301252,0.033478893740946813,0.16375687915752654,47
IMG_0003,2,HHO-VC,1,0.11864764584211948,0.5585940455686289,0.7907542579076112,0.0,26
IMG_0003,2,EHHO-VC,1,0.1662605377831961,0.5259320425018505,0.6228710462285814,0.0,26
IMG_0003,2,BEHHO-VC-Calibrated,1,0.13702637136612575,0.5673329090268526,0.6114206944680758,0.0,26
IMG_0003,2,BDA-EHHO-VC-Calibrated,1,0.04080089784436914,0.6596839310930174,1.0,0.0,26
IMG_0003,2,MO-BDA-EHHO-VC,26,1.152211092232905,0.0,0.0,0.2110522222805315,26
IMG_0003,3,HHO-VC,1,0.012912377817175044,1.2147341039030233,1.0,0.0,36
IMG_0003,3,EHHO-VC,1,0.10907325199051482,0.7755208776061483,0.8407729057579577,0.0,36
IMG_0003,3,BEHHO-VC-Calibrated,1,0.03042744542625896,1.0001269110763948,1.0,0.0,36
IMG_0003,3,BDA-EHHO-VC-Calibrated,1,0.13255648769571,0.7481941372201814,0.7280435294166697,0.0,36
IMG_0003,3,MO-BDA-EHHO-VC,32,0.8429099344241576,0.041076682043219306,0.19843342036549227,0.18411873631678746,36
IMG_0003,4,HHO-VC,1,0.03333472381313305,0.8999265467561139,0.9620462046204621,0.0,32
IMG_0003,4,EHHO-VC,1,0.03219946386095373,0.9049623412347021,0.9603960396039604,0.0,32
IMG_0003,4,BEHHO-VC-Calibrated,1,0.11273400701409321,0.7681549435281305,0.7079207920792079,0.0,32
IMG_0003,4,BDA-EHHO-VC-Calibrated,1,0.030243551544838022,0.924584725284094,1.0,0.0,32
IMG_0003,4,MO-BDA-EHHO-VC,32,1.2414245853412467,0.0,0.0,0.1983255088808185,32
IMG_0003,5,HHO-VC,1,0.1018833957673678,0.7080875821645881,0.764430577223152,0.0,31
IMG_0003,5,EHHO-VC,1,0.4608666961863189,0.56707704787568,0.434737688517428,0.0,31
IMG_0003,5,BEHHO-VC-Calibrated,1,0.07994543363602287,0.8442525326016895,0.8922521171869059,0.0,31
IMG_0003,5,BDA-EHHO-VC-Calibrated,1,0.08225687541972823,0.715961992629961,0.844875453818964,0.0,31
IMG_0003,5,MO-BDA-EHHO-VC,29,0.8815556701885829,0.024968717924025427,0.13988095238095227,0.18236398372339638,31
