algorithm,runs,mean_best_score,median_best_score,sd_best_score,median_runtime_s,mean_runtime_s,median_cache_hit_rate
BDA-EHHO-VC-Calibrated,500,4.990380138643668,4.994710439661917,0.42500456715048,27.54745645003277,25.41885047520208,0.7249029395452025
BEHHO-VC-Calibrated,500,4.990355578133361,4.994645787745702,0.425005199339599,27.861136549996445,26.815388944799896,0.7074320576816417
EHHO-VC,500,4.990338436949662,4.995013816357831,0.4250066664065158,15.75319540000055,16.266499955000356,0.8244444444444445
HHO-VC,500,4.990388865372259,4.995126741229058,0.42497589065123575,15.362331350013847,15.286454613401439,0.8311111111111111
