experiment_id,run_index,mean_diversity,final_diversity,injection_count,diversity_healthy
IMG_0005,1,0.9244074074074076,0.8568518518518519,0,True
IMG_0005,2,0.9302685185185184,0.8649999999999999,0,True
IMG_0006,1,0.874388888888889,0.8083333333333332,0,True
IMG_0006,2,0.8818425925925926,0.8874074074074074,0,True
IMG_0015,1,0.868537037037037,0.8566666666666666,0,True
IMG_0015,2,0.9436851851851852,0.92,0,True
IMG_0034,1,0.944324074074074,0.9338888888888888,0,True
IMG_0034,2,0.9476944444444444,0.9337037037037036,0,True
IMG_0063,1,0.8315277777777776,0.7418518518518519,0,True
IMG_0063,2,0.8655925925925926,0.7942592592592593,0,True
IMG_0065,1,0.9211851851851852,0.9481481481481482,0,True
IMG_0065,2,0.9329537037037036,0.9164814814814816,0,True
IMG_0067,1,0.9540555555555554,0.9312962962962962,0,True
IMG_0067,2,0.945324074074074,0.9453703703703704,0,True
IMG_0076,1,0.8744351851851851,0.86,0,True
IMG_0076,2,0.9259166666666664,0.9162962962962964,0,True
IMG_0078,1,0.9155,0.8537037037037036,0,True
IMG_0078,2,0.937638888888889,0.937962962962963,0,True
IMG_0082,1,0.946101851851852,0.8479629629629629,0,True
IMG_0082,2,0.9520833333333332,0.9629629629629632,0,True
IMG_0090,1,0.948851851851852,0.9235185185185184,0,True
IMG_0090,2,0.9482870370370368,0.9383333333333334,0,True
IMG_0093,1,0.9545925925925928,0.944074074074074,0,True
IMG_0093,2,0.9455648148148148,0.935,0,True
