population_size,evaluation_budget,mean_best_score,median_best_score,mean_paired_rank,median_runtime_s,mean_runtime_s,total_runs,median_block_score_spread,max_block_score_spread,normalized_score_loss,normalized_runtime_cost,balanced_screening_index
20,400,5.056790737540001,5.0429983426459275,2.5,49.510017349995906,52.19357054166691,96,0.0007250715632673987,0.002140236372603077,0.0,0.9668198384373029,0.29004595153119084
20,200,5.056982010090761,5.043010630398334,2.5,25.901765100003104,26.878669328124488,96,0.0007952333752241358,0.002377132928222281,0.972479058770493,0.03990604520903013,0.6927071547020541
10,200,5.056987423061437,5.043024056589309,2.5,24.885368549992563,25.690998326041154,96,0.0009176909211321416,0.0025699328468062888,1.0,0.0,0.7
