algorithm,runs,median_hv,mean_hv,median_igd,mean_igd,median_epsilon,mean_epsilon,median_set_size,mean_set_size
BDA-EHHO-VC-Calibrated,500,0.0868430226772457,0.12463848967880799,0.6961310324336029,0.7270196132317378,0.7929228754759097,0.7827361334835851,1.0,1.0
BEHHO-VC-Calibrated,500,0.0899062704023299,0.12343378811129678,0.7350402224188909,0.7625557261636893,0.8165173585318484,0.7955489116261799,1.0,1.0
EHHO-VC,500,0.07718964706272065,0.1189716705378545,0.7501587124241246,0.7781479908737032,0.8499365761829651,0.8204666802977856,1.0,1.0
HHO-VC,500,0.06995620525444005,0.12009293615121151,0.7571794042144775,0.7869693242862972,0.855249635194375,0.8171812157528636,1.0,1.0
MO-BDA-EHHO-VC,500,0.9111568065580986,0.9078458311696888,0.0071827718716471495,0.014202384631516829,0.04817486820818505,0.07037056817571755,40.0,43.294
