run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction
IMG_0015|r2|n20|b400|EHHO-VC,IMG_0015,130026.jpg,2,EHHO-VC,20,400,1455235506,4.885065750460864,34,6,50,400,True,46.75771380000515,13,13,4.885065750460864,0.23828692633745815,0.11195787436353326,0,0,0,nan
IMG_0015|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0015,130026.jpg,2,BEHHO-VC-Calibrated,20,400,1455235506,4.885032019115998,2,50,112,400,True,52.81934419996105,20,20,4.885032019115998,0.8720208333333334,0.84625,0,0,0,nan
IMG_0015|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0015,130026.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1455235506,4.884365123901637,11,8,104,400,True,62.12296940002125,10,10,4.884971925250011,nan,nan,0,98,102,0.49
IMG_0034|r1|n20|b400|HHO-VC,IMG_0034,182053.jpg,1,HHO-VC,20,400,747861275,5.266288533232882,43,75,78,400,True,67.61911390000023,11,11,5.266288533232882,nan,nan,0,0,0,nan
IMG_0034|r1|n20|b400|EHHO-VC,IMG_0034,182053.jpg,1,EHHO-VC,20,400,747861275,5.265946142904206,25,48,39,400,True,66.74911630002316,13,13,5.265946142904206,0.17788257229537668,0.0945941213089611,0,0,0,nan
IMG_0034|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0034,182053.jpg,1,BEHHO-VC-Calibrated,20,400,747861275,5.265948430864512,69,38,40,400,True,67.15545029996429,20,20,5.265948430864512,0.8614374999999999,0.8520833333333333,0,0,0,nan
IMG_0034|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0034,182053.jpg,1,BDA-EHHO-VC-Calibrated,20,400,747861275,5.26598925367639,46,65,38,400,True,66.81584720005048,10,10,5.266127330231005,nan,nan,0,103,97,0.515
IMG_0034|r2|n20|b400|HHO-VC,IMG_0034,182053.jpg,2,HHO-VC,20,400,1360068723,5.269962979724515,109,237,164,400,True,66.67018030001782,11,11,5.269962979724515,nan,nan,0,0,0,nan
IMG_0034|r2|n20|b400|EHHO-VC,IMG_0034,182053.jpg,2,EHHO-VC,20,400,1360068723,5.269962979724515,109,237,164,400,True,69.33940999995684,13,13,5.269962979724515,0.477940628794507,0.4424573207974178,0,0,0,nan
IMG_0034|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0034,182053.jpg,2,BEHHO-VC-Calibrated,20,400,1360068723,5.270000710686921,198,176,4,400,True,70.10420860000886,20,20,5.270000710686921,0.843,0.67625,1,0,0,nan
IMG_0034|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0034,182053.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1360068723,5.270030432731749,78,240,4,400,True,67.97985810000682,10,10,5.270030432731749,nan,nan,0,90,110,0.45
IMG_0063|r1|n20|b400|HHO-VC,IMG_0063,302008.jpg,1,HHO-VC,20,400,827430056,4.041024156858889,87,227,182,400,True,64.48907030001283,12,12,4.041024156858889,nan,nan,0,0,0,nan
IMG_0063|r1|n20|b400|EHHO-VC,IMG_0063,302008.jpg,1,EHHO-VC,20,400,827430056,4.041086037726192,87,221,182,400,True,65.47848970000632,14,14,4.041086037726192,0.49588880780917627,0.5194831172739963,0,0,0,nan
IMG_0063|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0063,302008.jpg,1,BEHHO-VC-Calibrated,20,400,827430056,4.040863558910483,255,222,255,400,True,64.50571419997141,20,20,4.040863558910483,0.7971041666666667,0.78125,2,0,0,nan
IMG_0063|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0063,302008.jpg,1,BDA-EHHO-VC-Calibrated,20,400,827430056,4.041162319552701,19,174,132,400,True,52.896372199989855,10,10,4.041162319552701,nan,nan,0,106,94,0.53
IMG_0063|r2|n20|b400|HHO-VC,IMG_0063,302008.jpg,2,HHO-VC,20,400,1987326251,4.036112164203122,2,7,10,400,True,48.28034699999262,12,12,4.036112164203122,nan,nan,0,0,0,nan
IMG_0063|r2|n20|b400|EHHO-VC,IMG_0063,302008.jpg,2,EHHO-VC,20,400,1987326251,4.036132218239536,2,6,6,400,True,64.7747914000065,14,14,4.036132218239536,0.1405366456525516,0.03753257282435059,3,0,0,nan
IMG_0063|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0063,302008.jpg,2,BEHHO-VC-Calibrated,20,400,1987326251,4.036815542782297,32,6,100,400,True,58.62862299999688,20,20,4.036815542782297,0.8359375,0.7804166666666665,4,0,0,nan
IMG_0063|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0063,302008.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1987326251,4.036256925553205,154,6,153,400,True,42.26933749997988,10,10,4.036256925553205,nan,nan,0,93,107,0.465
IMG_0065|r1|n20|b400|HHO-VC,IMG_0065,304074.jpg,1,HHO-VC,20,400,839736107,5.243832533833977,254,254,254,400,True,21.833990600018296,12,12,5.243832533833977,nan,nan,0,0,0,nan
IMG_0065|r1|n20|b400|EHHO-VC,IMG_0065,304074.jpg,1,EHHO-VC,20,400,839736107,5.243832533833977,254,254,254,400,True,22.246932100038975,13,13,5.243832533833977,0.5843327071357766,0.6370543279922662,0,0,0,nan
IMG_0065|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0065,304074.jpg,1,BEHHO-VC-Calibrated,20,400,839736107,5.243703004034843,211,238,255,400,True,28.766646999982186,20,20,5.243703004034843,0.7884583333333334,0.5991666666666666,3,0,0,nan
IMG_0065|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0065,304074.jpg,1,BDA-EHHO-VC-Calibrated,20,400,839736107,5.243774728632557,217,239,175,400,True,67.02930080000078,10,10,5.243774728632557,nan,nan,0,104,96,0.52
IMG_0065|r2|n20|b400|HHO-VC,IMG_0065,304074.jpg,2,HHO-VC,20,400,1234979416,5.243874507711018,153,226,226,400,True,41.966092699964065,12,12,5.243874507711018,nan,nan,0,0,0,nan
IMG_0065|r2|n20|b400|EHHO-VC,IMG_0065,304074.jpg,2,EHHO-VC,20,400,1234979416,5.243914095581029,2,10,8,400,True,42.65433590003522,13,13,5.243914095581029,0.25401646449952225,0.024202986840429548,3,0,0,nan
IMG_0065|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0065,304074.jpg,2,BEHHO-VC-Calibrated,20,400,1234979416,5.243292235229041,3,10,231,400,True,30.51922800001921,20,20,5.243292235229041,0.867,0.8454166666666666,0,0,0,nan
IMG_0065|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0065,304074.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1234979416,5.24285315151559,13,14,160,400,True,29.827875600021798,10,10,5.24285315151559,nan,nan,0,99,101,0.495
IMG_0067|r1|n20|b400|HHO-VC,IMG_0067,3096.jpg,1,HHO-VC,20,400,1774026926,5.81167265884116,255,100,218,400,True,24.960580300015863,12,12,5.81167265884116,nan,nan,0,0,0,nan
IMG_0067|r1|n20|b400|EHHO-VC,IMG_0067,3096.jpg,1,EHHO-VC,20,400,1774026926,5.811843304815636,255,113,203,400,True,47.588886599987745,13,13,5.811843304815636,0.5729219211776659,0.5515563895088352,0,0,0,nan
IMG_0067|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0067,3096.jpg,1,BEHHO-VC-Calibrated,20,400,1774026926,5.812046081856924,255,123,187,400,True,42.16825400001835,20,20,5.812046081856924,0.7676666666666666,0.9,6,0,0,nan
IMG_0067|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0067,3096.jpg,1,BDA-EHHO-VC-Calibrated,20,400,1774026926,5.811484142412982,255,99,203,400,True,50.29855889995815,10,10,5.811484142412982,nan,nan,0,105,95,0.525
IMG_0067|r2|n20|b400|HHO-VC,IMG_0067,3096.jpg,2,HHO-VC,20,400,1502492182,5.8124048882419,181,123,237,400,True,57.479377800016664,11,11,5.8124048882419,nan,nan,0,0,0,nan
IMG_0067|r2|n20|b400|EHHO-VC,IMG_0067,3096.jpg,2,EHHO-VC,20,400,1502492182,5.812361428939621,141,95,186,400,True,41.990321499994025,13,13,5.812361428939621,0.4449174389935174,0.4512580067725894,0,0,0,nan
IMG_0067|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0067,3096.jpg,2,BEHHO-VC-Calibrated,20,400,1502492182,5.812336573130867,159,123,251,400,True,22.716124399972614,20,20,5.812336573130867,0.9011041666666667,0.7954166666666667,0,0,0,nan
IMG_0067|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0067,3096.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1502492182,5.8123136946500695,101,117,247,400,True,54.19393559999298,10,10,5.8123136946500695,nan,nan,0,113,87,0.565
IMG_0076|r1|n20|b400|HHO-VC,IMG_0076,41033.jpg,1,HHO-VC,20,400,996011701,4.883204161398102,175,115,255,400,True,65.59336429997347,12,12,4.883204161398102,nan,nan,0,0,0,nan
IMG_0076|r1|n20|b400|EHHO-VC,IMG_0076,41033.jpg,1,EHHO-VC,20,400,996011701,4.883217264265227,175,116,255,400,True,59.38195219996851,14,14,4.883217264265227,0.5109588660031983,0.4708313568864644,0,0,0,nan
IMG_0076|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0076,41033.jpg,1,BEHHO-VC-Calibrated,20,400,996011701,4.883257122262847,155,2,216,400,True,59.24796960002277,20,20,4.883257122262847,0.9328750000000001,0.96125,0,0,0,nan
IMG_0076|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0076,41033.jpg,1,BDA-EHHO-VC-Calibrated,20,400,996011701,4.882908531407478,170,2,3,400,True,61.9269405999803,10,10,4.882908531407478,nan,nan,0,89,111,0.445
IMG_0076|r2|n20|b400|HHO-VC,IMG_0076,41033.jpg,2,HHO-VC,20,400,1999416426,4.880824037666189,219,138,152,400,True,54.05285879998701,11,11,4.880824037666189,nan,nan,0,0,0,nan
IMG_0076|r2|n20|b400|EHHO-VC,IMG_0076,41033.jpg,2,EHHO-VC,20,400,1999416426,4.881042058249002,205,136,138,400,True,51.776543999963906,12,12,4.881042058249002,0.46698754854580304,0.5526943637962975,0,0,0,nan
IMG_0076|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0076,41033.jpg,2,BEHHO-VC-Calibrated,20,400,1999416426,4.881222704807018,45,2,137,400,True,48.5912475999794,20,20,4.881222704807018,0.7608749999999999,0.7720833333333333,3,0,0,nan
IMG_0076|r2|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0076,41033.jpg,2,BDA-EHHO-VC-Calibrated,20,400,1999416426,4.881563763961995,188,143,151,400,True,55.90450480004074,10,10,4.881563763961995,nan,nan,0,118,82,0.59
IMG_0078|r1|n20|b400|HHO-VC,IMG_0078,42012.jpg,1,HHO-VC,20,400,1368832785,4.8850392005933685,34,250,195,400,True,50.76749190001283,11,11,4.8850392005933685,nan,nan,0,0,0,nan
IMG_0078|r1|n20|b400|EHHO-VC,IMG_0078,42012.jpg,1,EHHO-VC,20,400,1368832785,4.884804462108652,27,246,181,400,True,46.06318230001489,13,13,4.884804462108652,0.48033272114397035,0.5513161895535477,0,0,0,nan
IMG_0078|r1|n20|b400|BEHHO-VC-Calibrated,IMG_0078,42012.jpg,1,BEHHO-VC-Calibrated,20,400,1368832785,4.884765341960079,25,229,6,400,True,53.348325499973726,20,20,4.884765341960079,0.9205208333333333,0.94625,0,0,0,nan
IMG_0078|r1|n20|b400|BDA-EHHO-VC-Calibrated,IMG_0078,42012.jpg,1,BDA-EHHO-VC-Calibrated,20,400,1368832785,4.88394201655817,69,248,3,400,True,48.587033200019505,10,10,4.88394201655817,nan,nan,0,102,98,0.51
IMG_0078|r2|n20|b400|HHO-VC,IMG_0078,42012.jpg,2,HHO-VC,20,400,1218605923,4.888962869799331,85,242,154,400,True,48.70248339994578,11,11,4.888962869799331,nan,nan,0,0,0,nan
IMG_0078|r2|n20|b400|EHHO-VC,IMG_0078,42012.jpg,2,EHHO-VC,20,400,1218605923,4.889052680858664,98,244,167,400,True,59.42549619998317,13,13,4.889052680858664,0.4839187798864634,0.4492709615160678,0,0,0,nan
IMG_0078|r2|n20|b400|BEHHO-VC-Calibrated,IMG_0078,42012.jpg,2,BEHHO-VC-Calibrated,20,400,1218605923,4.88911488479871,23,244,36,400,True,73.51876250002533,20,20,4.88911488479871,0.8934374999999999,0.9270833333333334,0,0,0,nan
