experiment_id,dataset,split,filename,channel,correlation_mode,share_aggregation,best_NX,best_objective,default_best_NX,same_optimum_as_default,abs_NX_difference
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,share1,4,5.028232648021232,16,False,12
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,share2,22,5.035722474995055,16,False,6
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,mean,7,5.035576253875608,16,False,9
IMG_0027,BSDS500,validation,16077.jpg,R,signed_cc,max,168,5.038052485259995,16,False,152
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,share1,4,5.030109474136109,16,False,12
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,share2,22,5.035722474995055,16,False,6
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,mean,16,5.0360563320542155,16,True,0
IMG_0027,BSDS500,validation,16077.jpg,R,abs_cc,max,168,5.038052485259995,16,False,152
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,share1,180,5.077599122528598,204,False,24
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,share2,35,5.082379919092953,204,False,169
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,mean,106,5.081384324249001,204,False,98
IMG_0027,BSDS500,validation,16077.jpg,G,signed_cc,max,77,5.083293829127559,204,False,127
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,share1,204,5.085505543065256,204,True,0
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,share2,35,5.088378691829679,204,False,169
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,mean,204,5.087967607016013,204,True,0
IMG_0027,BSDS500,validation,16077.jpg,G,abs_cc,max,106,5.089046741765929,204,False,98
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,share1,242,4.979031658015493,248,False,6
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,share2,155,4.983419065321017,248,False,93
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,mean,248,4.984216620424357,248,True,0
IMG_0027,BSDS500,validation,16077.jpg,B,signed_cc,max,192,4.986377533972142,248,False,56
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,share1,227,4.98133601039361,248,False,21
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,share2,155,4.983419065321017,248,False,93
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,mean,248,4.985376000015709,248,True,0
IMG_0027,BSDS500,validation,16077.jpg,B,abs_cc,max,192,4.986377533972142,248,False,56
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,share1,77,4.920509656288466,18,False,59
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,share2,17,4.9126651804729455,18,False,1
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,mean,18,4.918279495082766,18,True,0
IMG_0087,BSDS500,validation,66053.jpg,R,signed_cc,max,77,4.920509656288466,18,False,59
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,share1,77,4.920509656288466,18,False,59
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,share2,17,4.9126651804729455,18,False,1
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,mean,18,4.918279495082766,18,True,0
IMG_0087,BSDS500,validation,66053.jpg,R,abs_cc,max,77,4.920509656288466,18,False,59
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,share1,3,4.897888449221239,240,False,237
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,share2,234,4.915494298369346,240,False,6
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,mean,240,4.910991988914261,240,True,0
IMG_0087,BSDS500,validation,66053.jpg,G,signed_cc,max,234,4.915494298369346,240,False,6
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,share1,3,4.90292467690196,240,False,237
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,share2,234,4.915494298369346,240,False,6
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,mean,240,4.91156759589716,240,True,0
IMG_0087,BSDS500,validation,66053.jpg,G,abs_cc,max,234,4.915494298369346,240,False,6
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,share1,102,4.278633637637417,97,False,5
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,share2,5,4.266323763472584,97,False,92
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,mean,97,4.279006979295243,97,True,0
IMG_0087,BSDS500,validation,66053.jpg,B,signed_cc,max,102,4.279820468125296,97,False,5
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,share1,102,4.278633637637417,97,False,5
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,share2,5,4.266323763472584,97,False,92
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,mean,97,4.279006979295243,97,True,0
IMG_0087,BSDS500,validation,66053.jpg,B,abs_cc,max,102,4.279820468125296,97,False,5
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,share1,13,4.852532617253898,19,False,6
IMG_0169,BSDS500,test,183066.jpg,R,signed_cc,share2,35,4.834826142054031,19,False,16
