run_key,experiment_id,filename,run_index,algorithm,population_size,evaluation_budget,master_seed,best_score,level_R,level_G,level_B,evaluations,budget_compliant,runtime_s,iterations_completed,convergence_points,final_convergence_value,diversity_mean,diversity_final,injection_count,bda_proposals,ehho_proposals,bda_fraction
IMG_0016|r3|n20|b300|BEHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BEHHO-VC-Calibrated,20,300,1016625838,5.0775669060684425,215,239,19,300,True,0.3584721999941394,15,15,5.0775669060684425,0.8915833333333334,0.8979166666666667,0,0,0,nan
IMG_0016|r3|n20|b300|BDA-EHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BDA-EHHO-VC-Calibrated,20,300,1016625838,5.077221902839576,237,252,53,300,True,0.07376290002139285,8,8,5.077221902839576,nan,nan,0,72,68,0.5142857142857142
IMG_0016|r3|n20|b600|HHO-VC,IMG_0016,134035.jpg,3,HHO-VC,20,600,1016625838,5.077801229129525,255,191,159,600,True,0.07060189999174327,18,18,5.077801229129525,nan,nan,0,0,0,nan
IMG_0016|r3|n20|b600|EHHO-VC,IMG_0016,134035.jpg,3,EHHO-VC,20,600,1016625838,5.07791112805564,214,165,136,600,True,0.02697690000059083,20,20,5.07791112805564,0.5103372312040594,0.4267884957000664,0,0,0,nan
IMG_0016|r3|n20|b600|BEHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BEHHO-VC-Calibrated,20,600,1016625838,5.077136314554001,229,239,61,600,True,0.04843520000576973,30,30,5.077136314554001,0.895611111111111,0.9220833333333335,0,0,0,nan
IMG_0016|r3|n20|b600|BDA-EHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BDA-EHHO-VC-Calibrated,20,600,1016625838,5.076474676254127,236,239,39,600,True,0.04589820001274347,15,15,5.076976093155782,nan,nan,0,153,147,0.51
IMG_0016|r3|n30|b300|HHO-VC,IMG_0016,134035.jpg,3,HHO-VC,30,300,1016625838,5.078244774913141,238,152,160,300,True,0.010573600011412054,6,6,5.078244774913141,nan,nan,0,0,0,nan
IMG_0016|r3|n30|b300|EHHO-VC,IMG_0016,134035.jpg,3,EHHO-VC,30,300,1016625838,5.077769959146515,255,217,158,300,True,0.016410000040195882,7,7,5.077769959146515,0.44681294809332,0.39997302482124575,0,0,0,nan
IMG_0016|r3|n30|b300|BEHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BEHHO-VC-Calibrated,30,300,1016625838,5.077602423949522,234,36,62,300,True,0.03188389999559149,10,10,5.077602423949522,0.9234074074074075,0.9072222222222223,0,0,0,nan
IMG_0016|r3|n30|b300|BDA-EHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BDA-EHHO-VC-Calibrated,30,300,1016625838,5.077204876377006,246,219,39,300,True,0.024731599958613515,5,5,5.077204876377006,nan,nan,0,71,79,0.47333333333333333
IMG_0016|r3|n30|b600|HHO-VC,IMG_0016,134035.jpg,3,HHO-VC,30,600,1016625838,5.077731361234345,235,164,165,600,True,0.021316899976227432,12,12,5.077731361234345,nan,nan,0,0,0,nan
IMG_0016|r3|n30|b600|EHHO-VC,IMG_0016,134035.jpg,3,EHHO-VC,30,600,1016625838,5.077800322310444,237,165,166,600,True,0.03013289999216795,13,13,5.077800322310444,0.5166132691743713,0.5446917961628819,0,0,0,nan
IMG_0016|r3|n30|b600|BEHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BEHHO-VC-Calibrated,30,600,1016625838,5.077206303532708,234,182,42,600,True,0.04675949999364093,20,20,5.077206303532708,0.9226759259259261,0.9290740740740739,0,0,0,nan
IMG_0016|r3|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0016,134035.jpg,3,BDA-EHHO-VC-Calibrated,30,600,1016625838,5.0775225178006425,220,199,42,600,True,0.048933800018858165,10,10,5.077599867015955,nan,nan,0,152,148,0.5066666666666667
IMG_0021|r1|n10|b300|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,10,300,1264570795,4.56554527771546,3,38,14,300,True,3.0648486000136472,17,17,4.56554527771546,nan,nan,0,0,0,nan
IMG_0021|r1|n10|b300|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,10,300,1264570795,4.565191610269396,3,41,14,300,True,0.49776290002046153,19,19,4.565191610269396,0.11893308172624256,0.11692258362618786,0,0,0,nan
IMG_0021|r1|n10|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,10,300,1264570795,4.566468719376651,2,2,4,300,True,8.141296600049827,30,30,4.566468719376651,0.8193888888888888,0.7983333333333333,1,0,0,nan
IMG_0021|r1|n10|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,10,300,1264570795,4.567487962438743,47,65,48,300,True,3.2752236999804154,15,15,4.567487962438743,nan,nan,0,92,58,0.6133333333333333
IMG_0021|r1|n10|b600|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,10,600,1264570795,4.565393820471947,3,38,13,600,True,0.19568249996518716,36,36,4.565393820471947,nan,nan,0,0,0,nan
IMG_0021|r1|n10|b600|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,10,600,1264570795,4.564850772299471,3,30,5,600,True,0.05091109999921173,41,41,4.564850772299471,0.07851074688027963,0.057162349833638784,0,0,0,nan
IMG_0021|r1|n10|b600|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,10,600,1264570795,4.565578789018814,2,96,4,600,True,2.6338887000456452,60,60,4.565578789018814,0.795277777777778,0.835,13,0,0,nan
IMG_0021|r1|n10|b600|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,10,600,1264570795,4.565329807034356,3,64,37,600,True,0.7141076999832876,30,30,4.565329807034356,nan,nan,0,159,141,0.53
IMG_0021|r1|n20|b300|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,20,300,1264570795,4.5665534526133165,3,80,3,300,True,0.049265499983448535,9,9,4.5665534526133165,nan,nan,0,0,0,nan
IMG_0021|r1|n20|b300|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,20,300,1264570795,4.564250497042362,3,65,4,300,True,0.03985820000525564,10,10,4.564250497042362,0.20830664942432658,0.13120422023115944,0,0,0,nan
IMG_0021|r1|n20|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,20,300,1264570795,4.5655972887704825,2,92,4,300,True,0.37987649999558926,15,15,4.5655972887704825,0.8708055555555555,0.8420833333333334,1,0,0,nan
IMG_0021|r1|n20|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,20,300,1264570795,4.566890990143967,2,98,2,300,True,0.10156630002893507,8,8,4.566890990143967,nan,nan,0,62,78,0.44285714285714284
IMG_0021|r1|n20|b600|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,20,600,1264570795,4.564907705654606,3,41,7,600,True,0.027278400026261806,18,18,4.564907705654606,nan,nan,0,0,0,nan
IMG_0021|r1|n20|b600|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,20,600,1264570795,4.564267251736983,3,30,4,600,True,0.02479329996276647,21,21,4.564267251736983,0.0935846959928733,0.052776903054986946,0,0,0,nan
IMG_0021|r1|n20|b600|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,20,600,1264570795,4.565267297694267,2,72,4,600,True,0.17936559999361634,30,30,4.565267297694267,0.7873888888888889,0.8916666666666666,5,0,0,nan
IMG_0021|r1|n20|b600|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,20,600,1264570795,4.565531662540875,2,128,4,600,True,0.10949410003377125,15,15,4.565531662540875,nan,nan,0,144,156,0.48
IMG_0021|r1|n30|b300|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,30,300,1264570795,4.566496496702427,3,32,3,300,True,0.012132600008044392,6,6,4.566496496702427,nan,nan,0,0,0,nan
IMG_0021|r1|n30|b300|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,30,300,1264570795,4.5651325985000195,3,4,4,300,True,0.011824999994132668,7,7,4.5651325985000195,0.20143395336003153,0.008657964131496932,0,0,0,nan
IMG_0021|r1|n30|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,30,300,1264570795,4.565835655873604,3,40,14,300,True,0.10066950001055375,10,10,4.565835655873604,0.8954074074074073,0.8862962962962962,0,0,0,nan
IMG_0021|r1|n30|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,30,300,1264570795,4.566328089565932,2,73,58,300,True,0.024203800014220178,5,5,4.566328089565932,nan,nan,0,70,80,0.4666666666666667
IMG_0021|r1|n30|b600|HHO-VC,IMG_0021,148026.jpg,1,HHO-VC,30,600,1264570795,4.566143501174835,3,41,3,600,True,0.029096499958541244,12,12,4.566143501174835,nan,nan,0,0,0,nan
IMG_0021|r1|n30|b600|EHHO-VC,IMG_0021,148026.jpg,1,EHHO-VC,30,600,1264570795,4.566251446611243,3,30,3,600,True,0.022900600044522434,14,14,4.566251446611243,0.1090125116818,0.05535682288302112,0,0,0,nan
IMG_0021|r1|n30|b600|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BEHHO-VC-Calibrated,30,600,1264570795,4.565108024237559,2,98,4,600,True,0.07116089999908581,20,20,4.565108024237559,0.8398611111111112,0.8144444444444444,1,0,0,nan
IMG_0021|r1|n30|b600|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,1,BDA-EHHO-VC-Calibrated,30,600,1264570795,4.56655006058891,2,97,27,600,True,0.06805589998839423,10,10,4.56655006058891,nan,nan,0,149,151,0.49666666666666665
IMG_0021|r2|n10|b300|HHO-VC,IMG_0021,148026.jpg,2,HHO-VC,10,300,1178661521,4.563860460116104,66,44,103,300,True,4.798399599967524,17,17,4.563860460116104,nan,nan,0,0,0,nan
IMG_0021|r2|n10|b300|EHHO-VC,IMG_0021,148026.jpg,2,EHHO-VC,10,300,1178661521,4.563537276488461,39,26,62,300,True,1.0837819000007585,20,20,4.563537276488461,0.17477294512262823,0.09485112788768872,0,0,0,nan
IMG_0021|r2|n10|b300|BEHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BEHHO-VC-Calibrated,10,300,1178661521,4.563120016113168,53,117,62,300,True,7.131760300020687,30,30,4.563120016113168,0.8546666666666667,0.7999999999999999,0,0,0,nan
IMG_0021|r2|n10|b300|BDA-EHHO-VC-Calibrated,IMG_0021,148026.jpg,2,BDA-EHHO-VC-Calibrated,10,300,1178661521,4.563296732416693,42,116,62,300,True,2.2189858999918215,15,15,4.563296732416693,nan,nan,0,61,89,0.4066666666666667
