experiment_id,run_index,algorithm,trace_points,fraction_to_90pct_terminal,fraction_to_95pct_terminal,fraction_to_99pct_terminal
IMG_0078,1,HHO-VC,11,0.5454545454545454,0.5454545454545454,0.5454545454545454
IMG_0078,1,BDA-EHHO-VC-Calibrated,10,0.9,0.9,0.9
IMG_0078,1,BEHHO-VC-Calibrated,20,0.4,0.4,0.4
IMG_0078,2,BEHHO-VC-Calibrated,20,0.85,0.85,0.85
IMG_0078,2,EHHO-VC,13,0.3076923076923077,0.38461538461538464,0.5384615384615384
IMG_0078,2,BDA-EHHO-VC-Calibrated,10,0.8,0.8,0.8
IMG_0078,2,HHO-VC,11,0.36363636363636365,0.5454545454545454,0.6363636363636364
IMG_0082,1,BDA-EHHO-VC-Calibrated,10,1.0,1.0,1.0
IMG_0082,1,BEHHO-VC-Calibrated,20,0.75,0.75,0.75
IMG_0082,1,HHO-VC,10,0.3,0.3,0.3
IMG_0082,1,EHHO-VC,13,0.23076923076923078,0.23076923076923078,0.23076923076923078
IMG_0082,2,HHO-VC,12,0.75,0.75,0.75
IMG_0082,2,EHHO-VC,14,0.9285714285714286,0.9285714285714286,0.9285714285714286
IMG_0082,2,BDA-EHHO-VC-Calibrated,10,0.4,0.4,0.4
IMG_0082,2,BEHHO-VC-Calibrated,20,0.7,0.7,0.7
IMG_0090,1,BDA-EHHO-VC-Calibrated,10,0.9,0.9,0.9
IMG_0090,1,HHO-VC,11,1.0,1.0,1.0
IMG_0090,1,EHHO-VC,13,0.7692307692307693,0.9230769230769231,0.9230769230769231
IMG_0090,1,BEHHO-VC-Calibrated,20,0.85,0.85,0.85
IMG_0090,2,HHO-VC,11,0.2727272727272727,0.2727272727272727,0.2727272727272727
IMG_0090,2,EHHO-VC,13,0.23076923076923078,0.3076923076923077,0.46153846153846156
IMG_0090,2,BDA-EHHO-VC-Calibrated,10,1.0,1.0,1.0
IMG_0090,2,BEHHO-VC-Calibrated,20,0.85,0.85,0.85
IMG_0093,1,HHO-VC,12,0.16666666666666666,0.16666666666666666,0.8333333333333334
IMG_0093,1,BEHHO-VC-Calibrated,20,0.5,0.9,0.9
IMG_0093,1,BDA-EHHO-VC-Calibrated,10,0.8,0.8,0.8
IMG_0093,1,EHHO-VC,13,0.15384615384615385,0.15384615384615385,0.7692307692307693
IMG_0093,2,BEHHO-VC-Calibrated,20,0.95,0.95,0.95
IMG_0093,2,EHHO-VC,13,0.46153846153846156,0.46153846153846156,0.46153846153846156
IMG_0093,2,HHO-VC,11,0.5454545454545454,0.5454545454545454,0.5454545454545454
IMG_0093,2,BDA-EHHO-VC-Calibrated,10,0.4,0.4,0.4
