algorithm,runs,median_runtime_s,mean_runtime_s,sd_runtime_s,median_seconds_per_100_evals,median_evals_per_second,median_iterations,median_cache_hit_rate
BDA-EHHO-VC-Calibrated,24,27.05584844999248,22.264002429168613,8.865464538303932,4.509308074998747,22.17729374929894,10.0,0.7246256239600666
BEHHO-VC-Calibrated,24,25.00857614999404,22.997181554169703,8.706726663718355,4.168096024999007,23.999087263917296,20.0,0.6988352745424293
EHHO-VC,24,11.398532299994258,12.335425708331362,5.810291970766634,1.8997553833323764,52.63895872465543,13.0,0.8525
HHO-VC,24,11.012742799997795,11.505799545833725,5.161868438903588,1.8354571333329657,54.48269397819703,11.0,0.8344444444444445
MO-BDA-EHHO-VC,24,118.46002930001123,103.2934942041611,45.78143452928096,19.743338216668537,5.065388312442545,20.0,0.0016666666666666
