experiment_id,algorithm,median_score,mean_score,sd_across_runs,median_runtime_s
IMG_0001,BDA-EHHO-VC-Calibrated,4.839803916504475,4.838838701436515,0.0034353941834742944,10.402748799999245
IMG_0001,BEHHO-VC-Calibrated,4.84040528303165,4.839000377289132,0.0037293255914153567,11.223743800015654
IMG_0001,EHHO-VC,4.840305705677372,4.839166977399955,0.0036803248375311373,8.410801599966362
IMG_0001,HHO-VC,4.840067165047716,4.839094393194069,0.0037587274575460296,6.617089400009718
IMG_0002,BDA-EHHO-VC-Calibrated,4.523393272175249,4.524856142520841,0.00239577149188065,23.07001019996824
IMG_0002,BEHHO-VC-Calibrated,4.523846813392475,4.525048613511885,0.0023662360029722954,20.650553999992557
IMG_0002,EHHO-VC,4.523578916606103,4.524819344099024,0.0023772531606152496,9.31575700000394
IMG_0002,HHO-VC,4.523578916606103,4.524828868520271,0.002577377351695734,9.405027100001462
IMG_0003,BDA-EHHO-VC-Calibrated,4.9498956699970345,4.950556486591735,0.003130641019272388,26.992129499965813
IMG_0003,BEHHO-VC-Calibrated,4.950285138738169,4.9507108048328385,0.003723691625877291,29.72736979997717
IMG_0003,EHHO-VC,4.95017228573531,4.950688078092614,0.003284030920733634,15.600519100029487
IMG_0003,HHO-VC,4.950521995908907,4.951029503449474,0.0033383256318277733,10.932681799982674
IMG_0004,BDA-EHHO-VC-Calibrated,5.292421345700885,5.292452512800915,0.0011014520922489875,30.75164089997997
IMG_0004,BEHHO-VC-Calibrated,5.292227328705956,5.292385770543818,0.0009473646203454453,26.90808740002103
IMG_0004,EHHO-VC,5.2916339044171785,5.29248249174786,0.0017168023325475944,21.489983099978417
IMG_0004,HHO-VC,5.2916339044171785,5.29258536984962,0.0016015755976825255,18.61030749999918
IMG_0005,BDA-EHHO-VC-Calibrated,4.609731769183276,4.60890662424926,0.0018172909248927215,25.973774299956855
IMG_0005,BEHHO-VC-Calibrated,4.609087949293378,4.608636067365415,0.0015941246961654653,27.98256199999014
IMG_0005,EHHO-VC,4.609065578439464,4.608875854834339,0.0016427695181445326,17.056186700006947
IMG_0005,HHO-VC,4.60905851565976,4.6089930041515705,0.0016946899481964997,16.911581800028216
IMG_0006,BDA-EHHO-VC-Calibrated,4.702452202031001,4.702044704121728,0.00277978547960094,27.331998899986505
IMG_0006,BEHHO-VC-Calibrated,4.702945452219261,4.702302460694417,0.00245182657240357,31.634942099975888
IMG_0006,EHHO-VC,4.7031318287677415,4.702047975840665,0.0028725370718135747,12.14379950001603
IMG_0006,HHO-VC,4.70364963047198,4.702202691551648,0.002962347839985246,10.957095200021286
IMG_0007,BDA-EHHO-VC-Calibrated,4.985077896578177,4.986776555638987,0.0034226309821299397,30.92938739998499
IMG_0007,BEHHO-VC-Calibrated,4.985142317140065,4.986558518568097,0.0035188353472662007,34.79086000000825
IMG_0007,EHHO-VC,4.985431117450353,4.98675873430962,0.003218492110197145,21.8367780999979
IMG_0007,HHO-VC,4.985450595526113,4.98679521440163,0.003325305076812406,20.815893699997105
IMG_0008,BDA-EHHO-VC-Calibrated,4.763496834555736,4.764117351616916,0.0026037354896042224,28.79658720002044
IMG_0008,BEHHO-VC-Calibrated,4.762890720579828,4.7637961120010415,0.0024166461806039213,32.078982200007886
IMG_0008,EHHO-VC,4.761841637386382,4.764038059543101,0.0031933047200180826,17.98557390004862
IMG_0008,HHO-VC,4.763149398540949,4.764082757895446,0.0026771974848288226,21.05731000000378
IMG_0009,BDA-EHHO-VC-Calibrated,4.560991281888106,4.561044580838422,0.0013499741432694147,29.519615900004283
