algorithm,cases,mean_best_score,median_best_score,mean_evaluations,mean_runtime_s
BDA-EHHO-VC,6,5.019634877938582,4.997458666096562,100.0,5.6344429333306225
BEHHO-VC,6,5.019257214553421,4.997218254154753,100.0,5.8363626833306625
EHHO-VC,6,5.019488024860151,4.997513249353629,100.0,5.578622150002047
HHO-VC,6,5.019262092761237,4.997095482661784,100.0,5.946080483336118
