candidate,global_min,global_max,global_span,global_std,normalized_iqr,pct_archives_nonconstant,median_within_archive_span,median_within_archive_cv,pct_monotonic_with_damage_rate,abs_rho_reconstruction,abs_rho_security,abs_rho_complexity,diagnostic_score
B1_central_mean,0.0578292167077213,0.0589518346527692,0.0011226179450479004,0.00020488709468196483,0.2516025641025576,100.0,0.00029612646435074955,0.0012532853551932427,100.0,0.09039603208364921,0.09033083756875836,0.0006502320941282962,0.7824141333998607
B3_dropout_mean,0.0577644502878147,0.0590648160741618,0.0013003657863471033,0.00028623584448205186,0.3342556723851962,100.0,0.0002623040006217506,0.0009206687106250507,100.0,0.06107677646998664,0.014317876367437282,0.0899926854128282,0.781184503489293
B4_crop_mean,0.0576320389404501,0.0587287503175353,0.0010967113770851966,0.0002238957099996233,0.3100393700787144,100.0,0.00030368254667319933,0.0013290571139493517,100.0,0.10824195135526544,0.15849505263050664,0.06087682500586725,0.7656924652981707
B2_random_block_mean,0.0578918242469644,0.0588518065153579,0.0009599822683935,0.00017730084897002744,0.2443778110944628,100.0,0.0002756170980469999,0.001124960138760804,100.0,0.2579150114293739,0.1714721291706218,0.17731940004400792,0.7400210876976997
