run_key,experiment_id,filename,run_index,algorithm,clean_secret_nmse
IMG_0002|r5|BDA-EHHO-VC-Calibrated,IMG_0002,101087.jpg,5,BDA-EHHO-VC-Calibrated,0.5794050182162591
IMG_0002|r5|BEHHO-VC-Calibrated,IMG_0002,101087.jpg,5,BEHHO-VC-Calibrated,0.5956552092877805
IMG_0002|r5|EHHO-VC,IMG_0002,101087.jpg,5,EHHO-VC,0.5956552092877805
IMG_0002|r5|MO-BDA-EHHO-VC,IMG_0002,101087.jpg,5,MO-BDA-EHHO-VC,0.575013169184498
IMG_0003|r1|BDA-EHHO-VC-Calibrated,IMG_0003,102061.jpg,1,BDA-EHHO-VC-Calibrated,0.4673007250204374
IMG_0003|r1|HHO-VC,IMG_0003,102061.jpg,1,HHO-VC,0.46998215639895513
IMG_0003|r1|BEHHO-VC-Calibrated,IMG_0003,102061.jpg,1,BEHHO-VC-Calibrated,0.4668147482837735
IMG_0003|r1|EHHO-VC,IMG_0003,102061.jpg,1,EHHO-VC,0.4753206957671811
IMG_0003|r1|MO-BDA-EHHO-VC,IMG_0003,102061.jpg,1,MO-BDA-EHHO-VC,0.46499995933319566
IMG_0003|r2|BEHHO-VC-Calibrated,IMG_0003,102061.jpg,2,BEHHO-VC-Calibrated,0.4829613384820404
IMG_0003|r2|HHO-VC,IMG_0003,102061.jpg,2,HHO-VC,0.4686763637792537
IMG_0003|r2|BDA-EHHO-VC-Calibrated,IMG_0003,102061.jpg,2,BDA-EHHO-VC-Calibrated,0.46840304948724787
IMG_0003|r2|EHHO-VC,IMG_0003,102061.jpg,2,EHHO-VC,0.4691433846970718
IMG_0003|r2|MO-BDA-EHHO-VC,IMG_0003,102061.jpg,2,MO-BDA-EHHO-VC,0.47945835564975575
IMG_0003|r3|HHO-VC,IMG_0003,102061.jpg,3,HHO-VC,0.5139608583215823
IMG_0003|r3|BEHHO-VC-Calibrated,IMG_0003,102061.jpg,3,BEHHO-VC-Calibrated,0.4996839349737408
IMG_0003|r3|BDA-EHHO-VC-Calibrated,IMG_0003,102061.jpg,3,BDA-EHHO-VC-Calibrated,0.4918246018807629
IMG_0003|r3|EHHO-VC,IMG_0003,102061.jpg,3,EHHO-VC,0.4854939594863492
IMG_0003|r3|MO-BDA-EHHO-VC,IMG_0003,102061.jpg,3,MO-BDA-EHHO-VC,0.4666884072008629
IMG_0003|r4|BDA-EHHO-VC-Calibrated,IMG_0003,102061.jpg,4,BDA-EHHO-VC-Calibrated,0.4755332989484484
IMG_0003|r4|BEHHO-VC-Calibrated,IMG_0003,102061.jpg,4,BEHHO-VC-Calibrated,0.4829357790282237
IMG_0003|r4|EHHO-VC,IMG_0003,102061.jpg,4,EHHO-VC,0.47520510675659483
IMG_0003|r4|HHO-VC,IMG_0003,102061.jpg,4,HHO-VC,0.47517583064155733
IMG_0003|r4|MO-BDA-EHHO-VC,IMG_0003,102061.jpg,4,MO-BDA-EHHO-VC,0.47919895132218215
IMG_0003|r5|BEHHO-VC-Calibrated,IMG_0003,102061.jpg,5,BEHHO-VC-Calibrated,0.5151967709373739
IMG_0003|r5|EHHO-VC,IMG_0003,102061.jpg,5,EHHO-VC,0.4834758039772646
IMG_0003|r5|HHO-VC,IMG_0003,102061.jpg,5,HHO-VC,0.5072281561518268
IMG_0003|r5|BDA-EHHO-VC-Calibrated,IMG_0003,102061.jpg,5,BDA-EHHO-VC-Calibrated,0.5124497349852803
IMG_0003|r5|MO-BDA-EHHO-VC,IMG_0003,102061.jpg,5,MO-BDA-EHHO-VC,0.47365257524254606
IMG_0004|r1|EHHO-VC,IMG_0004,103070.jpg,1,EHHO-VC,0.3948570091372105
IMG_0004|r1|HHO-VC,IMG_0004,103070.jpg,1,HHO-VC,0.3938372470399333
IMG_0004|r1|BEHHO-VC-Calibrated,IMG_0004,103070.jpg,1,BEHHO-VC-Calibrated,0.3881766873386919
IMG_0004|r1|BDA-EHHO-VC-Calibrated,IMG_0004,103070.jpg,1,BDA-EHHO-VC-Calibrated,0.3879189931832517
IMG_0004|r1|MO-BDA-EHHO-VC,IMG_0004,103070.jpg,1,MO-BDA-EHHO-VC,0.3781061440081156
IMG_0004|r2|BDA-EHHO-VC-Calibrated,IMG_0004,103070.jpg,2,BDA-EHHO-VC-Calibrated,0.38671106135409944
IMG_0004|r2|EHHO-VC,IMG_0004,103070.jpg,2,EHHO-VC,0.3868079315994029
IMG_0004|r2|HHO-VC,IMG_0004,103070.jpg,2,HHO-VC,0.3867787655449482
IMG_0004|r2|BEHHO-VC-Calibrated,IMG_0004,103070.jpg,2,BEHHO-VC-Calibrated,0.3778045441463178
IMG_0004|r2|MO-BDA-EHHO-VC,IMG_0004,103070.jpg,2,MO-BDA-EHHO-VC,0.3757519904719939
IMG_0004|r3|EHHO-VC,IMG_0004,103070.jpg,3,EHHO-VC,0.391489790266968
IMG_0004|r3|HHO-VC,IMG_0004,103070.jpg,3,HHO-VC,0.3918071118597157
IMG_0004|r3|BDA-EHHO-VC-Calibrated,IMG_0004,103070.jpg,3,BDA-EHHO-VC-Calibrated,0.3834605067016756
IMG_0004|r3|BEHHO-VC-Calibrated,IMG_0004,103070.jpg,3,BEHHO-VC-Calibrated,0.3876228370872056
IMG_0004|r3|MO-BDA-EHHO-VC,IMG_0004,103070.jpg,3,MO-BDA-EHHO-VC,0.38634412783708344
IMG_0004|r4|HHO-VC,IMG_0004,103070.jpg,4,HHO-VC,0.40506411225250494
IMG_0004|r4|EHHO-VC,IMG_0004,103070.jpg,4,EHHO-VC,0.40506411225250494
IMG_0004|r4|BDA-EHHO-VC-Calibrated,IMG_0004,103070.jpg,4,BDA-EHHO-VC-Calibrated,0.3848672079434511
IMG_0004|r4|BEHHO-VC-Calibrated,IMG_0004,103070.jpg,4,BEHHO-VC-Calibrated,0.39570526298161607
IMG_0004|r4|MO-BDA-EHHO-VC,IMG_0004,103070.jpg,4,MO-BDA-EHHO-VC,0.3816060112792858
IMG_0004|r5|BEHHO-VC-Calibrated,IMG_0004,103070.jpg,5,BEHHO-VC-Calibrated,0.40506411225250494
IMG_0004|r5|EHHO-VC,IMG_0004,103070.jpg,5,EHHO-VC,0.40506411225250494
IMG_0004|r5|HHO-VC,IMG_0004,103070.jpg,5,HHO-VC,0.40506411225250494
IMG_0004|r5|BDA-EHHO-VC-Calibrated,IMG_0004,103070.jpg,5,BDA-EHHO-VC-Calibrated,0.39558312113325106
IMG_0004|r5|MO-BDA-EHHO-VC,IMG_0004,103070.jpg,5,MO-BDA-EHHO-VC,0.376770059329535
IMG_0005|r1|HHO-VC,IMG_0005,105025.jpg,1,HHO-VC,0.5274701412092135
IMG_0005|r1|EHHO-VC,IMG_0005,105025.jpg,1,EHHO-VC,0.5276089445365819
IMG_0005|r1|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BDA-EHHO-VC-Calibrated,0.5259130125492811
IMG_0005|r1|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,1,BEHHO-VC-Calibrated,0.5256652153800986
IMG_0005|r1|MO-BDA-EHHO-VC,IMG_0005,105025.jpg,1,MO-BDA-EHHO-VC,0.5060991529333325
IMG_0005|r2|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BEHHO-VC-Calibrated,0.5179827665761544
IMG_0005|r2|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,2,BDA-EHHO-VC-Calibrated,0.5197057057372465
IMG_0005|r2|HHO-VC,IMG_0005,105025.jpg,2,HHO-VC,0.527850129604595
IMG_0005|r2|EHHO-VC,IMG_0005,105025.jpg,2,EHHO-VC,0.527850129604595
IMG_0005|r2|MO-BDA-EHHO-VC,IMG_0005,105025.jpg,2,MO-BDA-EHHO-VC,0.5111442453890901
IMG_0005|r3|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,3,BEHHO-VC-Calibrated,0.5267546542925172
IMG_0005|r3|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,3,BDA-EHHO-VC-Calibrated,0.5275329773358209
IMG_0005|r3|HHO-VC,IMG_0005,105025.jpg,3,HHO-VC,0.5276791039250481
IMG_0005|r3|EHHO-VC,IMG_0005,105025.jpg,3,EHHO-VC,0.5254548980724751
IMG_0005|r3|MO-BDA-EHHO-VC,IMG_0005,105025.jpg,3,MO-BDA-EHHO-VC,0.5125371297946189
IMG_0005|r4|BEHHO-VC-Calibrated,IMG_0005,105025.jpg,4,BEHHO-VC-Calibrated,0.5234795899949131
IMG_0005|r4|HHO-VC,IMG_0005,105025.jpg,4,HHO-VC,0.5121867900270168
IMG_0005|r4|BDA-EHHO-VC-Calibrated,IMG_0005,105025.jpg,4,BDA-EHHO-VC-Calibrated,0.5194873370746776
