experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity
IMG_0005,1,IMG_0005_r1_archive.csv,0,000000000001000000000000,2,16,2,0.5325097814330209,0.3278386216354951,0.0,0.0261437908496732
IMG_0005,1,IMG_0005_r1_archive.csv,1,000010010010000100010001,9,33,17,0.5079352174411946,0.3278656932793489,0.0,0.0771241830065359
IMG_0005,1,IMG_0005_r1_archive.csv,2,000000110001000100010000,3,17,16,0.5109955535416626,0.3275916531915527,0.0,0.0470588235294117
IMG_0005,1,IMG_0005_r1_archive.csv,3,000000100001000100000001,2,17,2,0.5323204518319266,0.327849735746786,0.0,0.0274509803921568
IMG_0005,1,IMG_0005_r1_archive.csv,4,000010110000100000001001,11,8,9,0.4982063783555661,0.3278694654603322,0.0,0.0366013071895424
IMG_0005,1,IMG_0005_r1_archive.csv,5,000010110001001101010000,11,19,80,0.5095153148981475,0.3278111897831364,0.0,0.1437908496732026
IMG_0005,1,IMG_0005_r1_archive.csv,6,000010110000010111010110,11,5,214,0.5057170733868769,0.32778620591989,0.0,0.3006535947712418
IMG_0005,2,IMG_0005_r2_archive.csv,0,000111000100001100000110,28,67,6,0.5171110190304102,0.3277235786606166,0.0,0.1320261437908496
IMG_0005,2,IMG_0005_r2_archive.csv,1,000000000000011100000001,2,7,2,0.5294444164105366,0.3280216033908189,0.0,0.0143790849673202
IMG_0005,2,IMG_0005_r2_archive.csv,2,101010010000111000000110,169,14,6,0.5170956867445996,0.327614369320038,0.0,0.2470588235294117
IMG_0005,2,IMG_0005_r2_archive.csv,3,000010000010000010010000,8,32,144,0.5123913672519349,0.3277474936305419,0.0,0.2405228758169934
IMG_0005,2,IMG_0005_r2_archive.csv,4,000010010100101001010011,9,74,83,0.5138601003314431,0.327710877568479,0.0,0.2169934640522876
IMG_0005,2,IMG_0005_r2_archive.csv,5,000010100000000000011010,10,2,26,0.5165109010031345,0.3279239891785194,0.0,0.049673202614379
IMG_0005,2,IMG_0005_r2_archive.csv,6,000010000100001000000010,8,66,2,0.5249963010223442,0.3277318229934529,0.0,0.0993464052287581
IMG_0005,2,IMG_0005_r2_archive.csv,7,000000010000101000000001,2,10,2,0.5286001416795109,0.327896203473439,0.0,0.0183006535947712
IMG_0005,2,IMG_0005_r2_archive.csv,8,100100000001011000000110,144,22,6,0.5171561015383844,0.3276929333455154,0.0,0.2248366013071895
IMG_0005,2,IMG_0005_r2_archive.csv,9,000101100000000000001000,22,2,8,0.5202631202583773,0.3278546554043164,0.0,0.0418300653594771
IMG_0005,2,IMG_0005_r2_archive.csv,10,000100010000111010011100,17,14,156,0.5127967965743515,0.3276493207777712,0.0,0.2444444444444444
IMG_0005,2,IMG_0005_r2_archive.csv,11,000101110000001100001000,23,3,8,0.5119257940540912,0.3279434636594824,0.0,0.0444444444444444
IMG_0005,2,IMG_0005_r2_archive.csv,12,000001110010000000001001,7,32,9,0.5058445489404108,0.3277655445165704,0.0,0.0627450980392156
